expert,strong_consensus_class,proposed_class,support,wrong_to_correct,correct_to_wrong,both_correct,both_wrong,net,patch_precision,strong_conditional_accuracy,candidate_conditional_accuracy,oracle_conditional_accuracy,is_h1,is_h2,is_h3,predeclared
s0,oligodendrocyte_progenitor_1,oligodendrocyte_progenitor_1,17,0,0,15,2,0,,0.8823529411764706,0.8823529411764706,0.8823529411764706,False,False,False,False
s0,oligodendrocyte_progenitor_1,oligodendrocyte_progenitor_2,0,0,0,0,0,0,,,,,False,False,False,False
s0,oligodendrocyte_progenitor_2,oligodendrocyte_1,68,25,33,0,10,-8,0.43103448275862066,0.4852941176470588,0.36764705882352944,0.8529411764705882,False,True,False,True
s0,oligodendrocyte_progenitor_2,oligodendrocyte_2,12,2,8,0,2,-6,0.2,0.6666666666666666,0.16666666666666666,0.8333333333333334,False,False,False,False
s0,oligodendrocyte_progenitor_2,oligodendrocyte_precursor_cell,1,1,0,0,0,1,1.0,0.0,1.0,1.0,False,False,False,False
s0,oligodendrocyte_progenitor_2,oligodendrocyte_progenitor_1,0,0,0,0,0,0,,,,,False,False,False,False
s0,oligodendrocyte_progenitor_2,oligodendrocyte_progenitor_2,579,0,0,467,112,0,,0.8065630397236615,0.8065630397236615,0.8065630397236615,False,False,False,False
sni,oligodendrocyte_1,oligodendrocyte_1,49,0,0,27,22,0,,0.5510204081632653,0.5510204081632653,0.5510204081632653,False,False,False,False
sni,oligodendrocyte_1,oligodendrocyte_2,4,0,2,0,2,-2,0.0,0.5,0.0,0.5,False,False,False,False
sni,oligodendrocyte_1,oligodendrocyte_precursor_cell,0,0,0,0,0,0,,,,,False,False,False,False
sni,oligodendrocyte_1,oligodendrocyte_progenitor_1,0,0,0,0,0,0,,,,,False,False,False,False
sni,oligodendrocyte_1,oligodendrocyte_progenitor_2,88,25,55,0,8,-30,0.3125,0.625,0.2840909090909091,0.9090909090909091,True,False,False,True
sni,oligodendrocyte_2,oligodendrocyte_1,0,0,0,0,0,0,,,,,False,False,False,False
sni,oligodendrocyte_2,oligodendrocyte_2,393,0,0,339,54,0,,0.8625954198473282,0.8625954198473282,0.8625954198473282,False,False,False,False
sni,oligodendrocyte_2,oligodendrocyte_precursor_cell,0,0,0,0,0,0,,,,,False,False,False,False
sni,oligodendrocyte_2,oligodendrocyte_progenitor_1,0,0,0,0,0,0,,,,,False,False,False,False
sni,oligodendrocyte_2,oligodendrocyte_progenitor_2,35,9,23,0,3,-14,0.28125,0.6571428571428571,0.2571428571428571,0.9142857142857143,False,False,True,True
sni,oligodendrocyte_precursor_cell,oligodendrocyte_1,4,0,2,0,2,-2,0.0,0.5,0.0,0.5,False,False,False,False
sni,oligodendrocyte_precursor_cell,oligodendrocyte_2,0,0,0,0,0,0,,,,,False,False,False,False
sni,oligodendrocyte_precursor_cell,oligodendrocyte_precursor_cell,81,0,0,57,24,0,,0.7037037037037037,0.7037037037037037,0.7037037037037037,False,False,False,False
sni,oligodendrocyte_precursor_cell,oligodendrocyte_progenitor_1,1,1,0,0,0,1,1.0,0.0,1.0,1.0,False,False,False,False
sni,oligodendrocyte_precursor_cell,oligodendrocyte_progenitor_2,4,0,3,0,1,-3,0.0,0.75,0.0,0.75,False,False,False,False
